#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-08-04T19:12:27 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-08-04T19:12:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-out.add=_r&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VII/20/catalog&-order=I&-out=Sh2&-out=GlLund&-out=GbLund&-out=GLon&-out=GLat&-out=RA1900&-out=DE1900&-out=Diam&-out=Form&-out=Struct&-out=Bright&-out=Stars&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7020
#Name: VII/20
#Title: Catalogue of HII Regions (Sharpless 1959)
#INFO	ivoid=ivo://cds.vizier/vii/20	    IVOID of underlying data collection
#INFO	creator=Sharpless S.	    First author or institution
#INFO	cites=bibcode:1959ApJS....4..257S	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=1959	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/20	    Dataset landing page
#INFO	publication_date=1998-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1900:	eq_FK4 B1900
#Table	VII_20_catalog:
#Name: VII/20/catalog
#Title: The Sharpless (Sh 2) Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Sh2	(I4)	[1/313]+ Sharpless HII catalog number	[ucd=meta.id;meta.main]
#Column	GlLund	(F5.1)	[0/3600[ Galactic longitude based on Lund pole	[ucd=pos.galactic.lon]
#Column	GbLund	(F5.1)	[-900/+900] Galactic latitude based on Lund pole	[ucd=pos.galactic.lat]
#Column	GLon	(F5.1)	[0/3600[ Galactic longitude (1)	[ucd=pos.galactic.lon]
#Column	GLat	(F5.1)	[-900/+900] Galactic latitude (1)	[ucd=pos.galactic.lat]
#Column	RA1900	(A10)	Hours RA, 1900.0	[ucd=pos.eq.ra;meta.main]
#Column	DE1900	(A9)	Sign Dec, 1900.0	[ucd=pos.eq.dec;meta.main]
#Column	Diam	(I4)	Maximun angular diameter of H II region	[ucd=phys.angSize;src]
#Column	Form	(I1)	[1/3] Classification as to form: 1=circular; 2=elliptical; 3=irregular	[ucd=src.class]
#Column	Struct	(I1)	[1/3] Classification as to structure, from 1=amorphous to 3=filamentary	[ucd=meta.code;src.morph]
#Column	Bright	(I1)	[1/3] Classification as to brightness, from 1=faintest to 3=brightest	[ucd=src.class]
#Column	Stars	(I2)	Number of associated stars with the H II region	[ucd=meta.number]
_RAJ2000,_DEJ2000,Sh2,GlLund,GbLund,GLon,GLat,RA1900,DE1900,Diam,Form,Struct,Bright,Stars
273.964267,-18.235265,  41,340.4, -2.2, 12.7, -0.7,18 10 00.0,-18 16 00,  90,3,2,2, 6
272.574219,-16.815356,  42,341.0, -0.3, 13.3,  1.2,18 04 30.0,-16 50 00,   3,3,1,2, 0
274.105310,-17.400520,  43,341.2, -1.9, 13.5, -0.4,18 10 36.0,-17 26 00,  15,2,1,2, 0
274.123225,-16.733645,  44,341.8, -1.6, 14.1, -0.1,18 10 42.0,-16 46 00,  60,3,2,2, 2
275.192160,-16.173250,  45,342.8, -2.2, 15.1, -0.7,18 15 00.0,-16 13 00,  60,3,3,3, 6
271.546426,-14.158540,  46,342.9,  1.8, 15.2,  3.3,18 00 30.0,-14 10 00,  25,2,2,2, 1
274.436407,-15.613882,  47,342.9, -1.3, 15.3,  0.2,18 12 00.0,-15 39 00,   5,1,2,2, 1
275.600545,-14.585880,  48,344.4, -1.8, 16.7, -0.3,18 16 42.0,-14 38 00,  10,3,2,2, 1
274.669233,-13.961541,  49,344.5, -0.7, 16.8,  0.7,18 13 00.0,-14 00 00,  90,3,3,3,10
276.376704,-14.711707,  50,344.6, -2.6, 16.9, -1.1,18 19 48.0,-14 46 00,  35,3,2,2, 1
280.194711,-16.558348,  51,344.7, -6.7, 17.0, -5.2,18 35 00.0,-16 39 00,  35,3,1,1, 0
296.945185,-23.087477,  52,345.1,-23.7, 17.5,-22.2,19 41 48.0,-23 20 00,   2,2,1,2, 0
276.311480,-13.228931,  53,345.9, -1.8, 18.2, -0.3,18 19 36.0,-13 17 00,  15,3,2,2, 0
274.471479,-11.730014,  54,346.4,  0.5, 18.7,  2.0,18 12 18.0,-11 46 00, 140,3,3,3, 7
278.046277,-11.762104,  55,348.0, -2.6, 20.3, -1.1,18 26 36.0,-11 50 00,   5,3,2,1, 1
277.775865, -9.714613,  56,349.7, -1.4, 22.0,  0.0,18 25 36.0,-09 47 00,   7,1,2,1, 0
277.640006, -8.615871,  57,350.6, -0.8, 22.9,  0.7,18 25 06.0,-08 41 00,   2,3,2,1, 1
277.863475, -8.463708,  58,350.8, -0.9, 23.1,  0.5,18 26 00.0,-08 32 00,   8,3,2,2, 0
279.254798, -7.600271,  59,352.2, -1.8, 24.5, -0.3,18 31 36.0,-07 41 00,  20,3,2,1, 0
279.171028, -6.701034,  60,353.0, -1.3, 25.3,  0.2,18 31 18.0,-06 47 00,  20,3,2,2, 0
278.229667, -5.010015,  61,354.1,  0.3, 26.4,  1.8,18 27 36.0,-05 05 00,   2,3,2,3, 0
276.893525, -3.856186,  62,354.5,  2.1, 26.8,  3.5,18 22 18.0,-03 55 00,   4,3,1,1, 0
299.429930,-14.115665,  63,355.1,-22.4, 27.4,-20.9,19 52 06.0,-14 23 00,  55,3,2,1, 0
277.899709, -1.913050,  64,356.7,  2.1, 29.0,  3.5,18 26 24.0,-01 59 00,  25,3,2,2, 0
281.742181, -3.742939,  65,356.8, -2.2, 29.1, -0.7,18 41 42.0,-03 51 00,   7,3,2,2, 0
281.375485, -1.996359,  66,358.2, -1.1, 30.5,  0.4,18 40 18.0,-02 06 00,   8,3,2,2, 0
282.353870, -2.353714,  67,358.3, -2.1, 30.6, -0.6,18 44 12.0,-02 28 00,  10,2,1,1, 0
276.297914, +0.854944,  68,358.4,  4.8, 30.7,  6.2,18 20 06.0,+00 48 00,   8,3,2,2, 0
281.109098, -0.282159,  69,359.6,  0.0, 31.9,  1.4,18 39 18.0,-00 23 00,  20,2,2,2, 1
273.662166, +7.063032,  70,  2.7,  9.9, 35.1, 11.4,18 09 48.0,+07 02 00,   5,3,1,2, 0
285.511295, +2.159682,  71,  3.8, -2.8, 36.1, -1.4,18 57 00.0,+02 01 00,   3,2,2,3, 0
285.959908, +2.313897,  72,  4.1, -3.1, 36.4, -1.7,18 58 48.0,+02 10 00,  25,3,2,2, 0
242.781771,+21.874001,  73,  5.0, 43.1, 37.7, 44.6,16 06 48.0,+22 08 00,  75,3,2,1, 0
287.204253, +5.609001,  74,  7.6, -2.7, 39.9, -1.3,19 03 54.0,+05 27 00,   3,3,2,2, 0
284.814141, +7.120011,  75,  7.9,  0.1, 40.2,  1.5,18 54 24.0,+06 59 00,  10,1,2,1, 0
284.107244, +7.813373,  76,  8.1,  1.1, 40.5,  2.5,18 51 36.0,+07 41 00,   7,1,2,1, 0
297.072002, +1.147923,  77,  8.4,-13.5, 40.6,-12.1,19 43 12.0,+00 54 00,   8,2,1,1, 0
285.796388,+14.129562,  78, 14.5,  2.5, 46.9,  3.8,18 58 36.0,+13 59 00,  12,1,1,1, 0
290.826825,+13.976087,  79, 16.7, -1.8, 49.0, -0.5,19 18 42.0,+13 47 00,  40,3,2,1, 0
287.870583,+16.865698,  80, 17.9,  2.0, 50.2,  3.3,19 07 00.0,+16 42 00,   2,3,2,3, 0
300.306158,+11.792703,  81, 19.5,-10.9, 51.6, -9.7,19 56 30.0,+11 31 00,  10,3,1,1, 0
292.586491,+18.275551,  82, 21.3, -1.2, 53.6,  0.0,19 25 54.0,+18 04 00,   9,3,1,2, 1
291.133967,+20.795858,  83, 22.8,  1.2, 55.1,  2.4,19 20 12.0,+20 36 00,   2,1,2,2, 0
297.266643,+18.400282,  84, 23.6, -5.0, 55.9, -3.8,19 44 36.0,+18 09 00,  15,3,2,3, 2
285.821783,+25.830382,  85, 25.0,  7.9, 57.4,  9.0,18 59 12.0,+25 41 00,   6,3,2,2, 1
295.790393,+23.287607,  86, 27.1, -1.3, 59.4, -0.2,19 38 54.0,+23 03 00,  40,1,2,2, 3
296.602918,+24.628112,  87, 28.6, -1.2, 60.9, -0.1,19 42 12.0,+24 23 00,  10,3,1,1, 1
296.495115,+25.343871,  88, 29.2, -0.8, 61.5,  0.3,19 41 48.0,+25 06 00,  25,3,2,2, 1
297.510043,+26.486076,  89, 30.7, -1.0, 63.0,  0.1,19 45 54.0,+26 14 00,   5,1,2,1, 0
297.305456,+26.867656,  90, 30.9, -0.6, 63.2,  0.5,19 45 06.0,+26 37 00,   6,3,2,2, 0
293.891846,+29.604452,  91, 31.7,  3.4, 64.1,  4.4,19 31 36.0,+29 23 00, 120,3,3,2, 0
296.663784,+28.245479,  92, 31.8,  0.6, 64.1,  1.6,19 42 36.0,+28 00 00,  50,1,1,1, 4
298.755079,+27.213485,  93, 31.9, -1.5, 64.2, -0.5,19 50 54.0,+26 57 00,   1,3,2,3, 0
291.965024,+31.470599,  94, 32.5,  5.7, 64.9,  6.8,19 24 00.0,+31 16 00,  25,3,3,1, 0
298.757176,+29.296933,  95, 33.6, -0.4, 65.9,  0.6,19 51 00.0,+29 02 00,   1,1,2,2, 0
292.175217,+32.689232,  96, 33.7,  6.1, 66.1,  7.2,19 24 54.0,+32 29 00,  25,3,2,1, 0
299.021930,+30.265907,  97, 34.6, -0.1, 66.9,  0.9,19 52 06.0,+30 00 00,  10,1,2,1, 0
299.685520,+31.421603,  98, 35.8,  0.0, 68.2,  1.0,19 54 48.0,+31 09 00,  15,1,1,1, 1
300.212630,+33.492825,  99, 37.8,  0.8, 70.2,  1.7,19 57 00.0,+33 13 00,   5,3,2,3, 0
300.463213,+33.511601, 100, 38.0,  0.6, 70.3,  1.6,19 58 00.0,+33 14 00,   4,3,2,3, 0
299.989687,+35.291038, 101, 39.2,  1.9, 71.6,  2.8,19 56 12.0,+35 01 00,  20,3,2,2, 1
307.946129,+30.605153, 102, 39.2, -6.2, 71.4, -5.3,20 27 42.0,+30 16 00,  40,3,1,1, 0
312.635300,+30.923446, 103, 42.0, -9.2, 74.1, -8.3,20 46 24.0,+30 33 00, 210,3,3,3, 0
304.438086,+36.744464, 104, 42.5, -0.3, 74.8,  0.6,20 14 00.0,+36 26 00,   7,1,2,2, 0
303.011585,+38.349646, 105, 43.1,  1.6, 75.5,  2.4,20 08 24.0,+38 03 00,  18,2,3,3, 1
306.865302,+37.397065, 106, 44.1, -1.4, 76.4, -0.6,20 23 42.0,+37 04 00,   3,3,2,3, 0
310.695098,+36.342820, 107, 45.2, -4.5, 77.4, -3.7,20 38 54.0,+35 59 00,   5,2,2,2, 1
305.647837,+40.254302, 108, 45.9,  1.0, 78.2,  1.8,20 19 00.0,+39 56 00, 180,3,3,3, 0
308.410257,+40.342476, 109, 47.2, -0.6, 79.5,  0.1,20 30 00.0,+40 00 00,1080,2,3,2, 0
320.203588,+32.457864, 110, 47.6,-12.9, 79.6,-12.2,21 16 36.0,+32 02 00,  50,3,2,1, 0
325.472051,+30.105702, 111, 49.3,-17.7, 81.2,-17.0,21 37 30.0,+29 39 00,  90,3,1,1, 0
308.459844,+45.659808, 112, 51.4,  2.6, 83.8,  3.3,20 30 30.0,+45 19 00,  15,1,2,2, 1
320.200743,+38.091341, 113, 51.6, -8.9, 83.7, -8.3,21 16 48.0,+37 40 00,  15,3,1,1, 0
320.295039,+38.708617, 114, 52.1, -8.5, 84.2, -7.9,21 17 12.0,+38 17 00,   9,3,3,2, 0
308.641680,+46.877934, 115, 52.5,  3.3, 84.9,  3.9,20 31 18.0,+46 32 00,  50,3,2,2, 0
308.080214,+47.357009, 116, 52.6,  3.9, 85.0,  4.5,20 29 06.0,+47 01 00,   2,1,2,2, 0
314.693997,+44.321858, 117, 53.2, -1.6, 85.5, -1.0,20 55 12.0,+43 56 00, 240,3,3,2, 1
324.254718,+40.215724, 118, 55.4, -9.5, 87.5, -8.9,21 33 00.0,+39 46 00, 480,3,2,1, 0
319.607464,+43.937802, 119, 55.4, -4.4, 87.6, -3.8,21 14 42.0,+43 31 00, 160,2,2,3, 1
315.946288,+49.880726, 120, 57.9,  1.5, 90.3,  2.0,21 00 30.0,+49 29 00,   1,1,1,1, 0
316.302917,+49.649790, 121, 57.9,  1.2, 90.2,  1.7,21 01 54.0,+49 15 00,   1,3,2,1, 0
347.197052,+14.924960, 122, 58.1,-41.6, 89.2,-41.1,23 03 48.0,+14 23 00,  40,3,2,1, 0
325.594953,+44.540061, 123, 59.0, -6.8, 91.2, -6.4,21 38 30.0,+44 05 00,  13,2,2,2, 0
324.590477,+50.351297, 124, 62.2, -1.9, 94.5, -1.5,21 34 48.0,+49 54 00,  70,1,2,2, 0
328.388247,+47.271720, 125, 62.3, -5.9, 94.4, -5.5,21 49 42.0,+46 48 00,   9,2,2,3, 1
338.364627,+38.582232, 126, 63.5,-17.2, 95.4,-16.8,22 29 00.0,+38 04 00, 160,3,2,2, 1
322.174631,+54.620754, 127, 63.9,  2.2, 96.3,  2.6,21 25 30.0,+54 11 00,   2,3,2,2, 0
323.036769,+55.859258, 128, 65.1,  2.8, 97.5,  3.2,21 29 00.0,+55 25 00,   1,3,2,3, 0
317.937184,+59.961301, 129, 66.0,  7.7, 98.5,  8.0,21 09 12.0,+59 33 00, 140,3,2,2, 1
310.748539,+63.228471, 130, 66.2, 12.4, 98.9, 12.7,20 41 12.0,+62 52 00,   3,3,2,2, 1
324.751344,+57.485863, 131, 66.9,  3.5, 99.3,  3.7,21 35 54.0,+57 02 00, 170,1,2,2, 5
334.698644,+56.134785, 132, 70.5, -0.8,102.8, -0.6,22 15 06.0,+55 38 00,  90,3,3,2, 3
322.249782,+64.305210, 133, 70.5,  9.4,103.1,  9.6,21 26 42.0,+63 52 00,  80,3,1,1, 0
332.874496,+59.410326, 134, 71.5,  2.4,103.8,  2.6,22 08 06.0,+58 55 00, 160,3,2,2, 1
335.548528,+58.738369, 135, 72.3,  1.1,104.6,  1.3,22 18 36.0,+58 14 00,  15,3,2,2, 0
319.123660,+68.253161, 136, 72.4, 13.1,105.1, 13.2,21 15 00.0,+67 50 00,   5,3,2,3, 0
329.279830,+64.693635, 137, 73.1,  7.7,105.6,  7.9,21 54 24.0,+64 13 00,  90,3,2,1, 2
338.164725,+58.481799, 138, 73.3,  0.2,105.6,  0.4,22 28 54.0,+57 58 00,   1,3,2,2, 0
338.751593,+58.217249, 139, 73.5, -0.1,105.8,  0.0,22 31 12.0,+57 42 00,  10,3,2,1, 0
334.782653,+63.285379, 140, 74.3,  5.2,106.8,  5.3,22 15 54.0,+62 47 00,  30,2,2,3, 1
337.126936,+61.644674, 141, 74.4,  3.2,106.8,  3.3,22 25 00.0,+61 08 00,   5,1,1,2, 0
341.898884,+58.061042, 142, 74.9, -1.0,107.2, -1.0,22 43 36.0,+57 32 00,  30,3,3,3, 3
342.562148,+57.713043, 143, 75.0, -1.5,107.3, -1.4,22 46 12.0,+57 11 00,   4,3,1,1, 0
341.217368,+59.892275, 144, 75.4,  0.8,107.7,  0.8,22 41 00.0,+59 22 00,   4,3,2,1, 0
336.390123,+64.308586, 145, 75.5,  5.7,107.9,  5.8,22 22 18.0,+63 48 00,  90,2,2,1, 0
342.359759,+59.929140, 146, 75.9,  0.5,108.2,  0.6,22 45 30.0,+59 24 00,   2,3,2,2, 0
343.873749,+58.466813, 147, 76.0, -1.1,108.3, -1.1,22 51 24.0,+57 56 00,   2,1,1,1, 0
344.050895,+58.517300, 148, 76.1, -1.1,108.4, -1.1,22 52 06.0,+57 59 00,   2,3,2,3, 0
344.101487,+58.534105, 149, 76.1, -1.1,108.4, -1.1,22 52 18.0,+58 00 00,   1,1,1,2, 0
337.799756,+65.113988, 150, 76.4,  6.1,108.9,  6.1,22 27 54.0,+64 36 00,  40,3,2,2, 0
345.763959,+57.071732, 151, 76.4, -2.8,108.6, -2.7,22 58 48.0,+56 32 00,  20,3,1,1, 1
344.657410,+58.785598, 152, 76.5, -1.0,108.8, -0.9,22 54 30.0,+58 15 00,   2,3,2,3, 0
344.810201,+58.735998, 153, 76.5, -1.1,108.8, -1.0,22 55 06.0,+58 12 00,   5,1,2,2, 0
342.852607,+61.180620, 154, 76.6,  1.6,109.0,  1.6,22 47 30.0,+60 39 00,  60,3,2,2, 0
344.182428,+62.617717, 155, 77.8,  2.6,110.2,  2.6,22 52 48.0,+62 05 00,  60,3,2,2, 9
346.293974,+60.256376, 156, 77.8,  0.1,110.1,  0.1,23 01 00.0,+59 43 00,   2,1,2,3, 0
349.014861,+60.045551, 157, 79.0, -0.6,111.3, -0.7,23 11 42.0,+59 30 00,  90,3,3,3, 5
348.417954,+61.511050, 158, 79.2,  0.9,111.6,  0.8,23 09 24.0,+60 58 00,  10,2,3,3, 0
348.929776,+61.145395, 159, 79.3,  0.4,111.7,  0.4,23 11 24.0,+60 36 00,   7,3,2,2, 0
346.448700,+64.673460, 160, 79.5,  4.1,112.0,  4.1,23 01 48.0,+64 08 00,  80,3,2,1, 3
348.872784,+61.861956, 161, 79.5,  1.1,111.9,  1.1,23 11 12.0,+61 19 00,  55,2,2,2, 0
350.175546,+61.197683, 162, 79.9,  0.3,112.2,  0.2,23 16 18.0,+60 39 00,  40,3,3,3, 2
353.331682,+60.785671, 163, 81.3, -0.6,113.6, -0.7,23 28 42.0,+60 14 00,  10,3,2,2, 0
354.606555,+59.970418, 164, 81.7, -1.5,113.9, -1.6,23 33 42.0,+59 25 00,   3,3,2,2, 0
354.954495,+61.937426, 165, 82.3,  0.3,114.6,  0.2,23 35 06.0,+61 23 00,  10,2,2,2, 1
355.543494,+60.971286, 166, 82.3, -0.7,114.6, -0.8,23 37 24.0,+60 25 00,  10,1,1,1, 1
353.843639,+64.852947, 167, 82.6,  3.3,115.0,  3.2,23 30 48.0,+64 18 00,   2,1,1,1, 0
358.265930,+60.472980, 168, 83.5, -1.4,115.8, -1.6,23 48 06.0,+59 55 00,   7,2,2,2, 0
358.494924,+60.373066, 169, 83.6, -1.6,115.9, -1.7,23 49 00.0,+59 49 00,   5,1,1,1, 1
000.426583,+64.623442, 170, 85.3,  2.5,117.7,  2.3,23 56 36.0,+64 04 00,  20,1,2,2, 1
001.167736,+67.156754, 171, 86.0,  4.9,118.4,  4.7,23 59 30.0,+66 36 00, 180,3,2,3, 3
003.887204,+61.255903, 172, 86.4, -1.1,118.6, -1.3,00 10 12.0,+60 42 00,   1,2,1,1, 0
