#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-06T11:26:00 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-06T11:26:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=B/vsx/vsx&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#RESOURCE=yCat_102027
#Name: B/vsx
#Title: AAVSO International Variable Star Index VSX (Watson+, 2006-)
#INFO	ivoid=ivo://cds.vizier/b/vsx	    IVOID of underlying data collection
#INFO	creator=Watson C.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/B/vsx	    Dataset landing page
#INFO	publication_date=2025-08-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	B_vsx_vsx:
#Name: B/vsx/vsx
#Title: Variable Star indeX, Version 2025-08-24
#Column	OID	(I8)	Internal identifier, can be used to link out to the VSX database (1)	[ucd=meta.id]
#Column	n_OID	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Name	(a30)	Variable star identifier	[ucd=meta.id;meta.main]
#Column	V	(I1)	Variability flag (2) (VarFlag)	[ucd=meta.note]
#Column	Type	(a30)	? Variability type, ariability type, as in GCVS catalog Variability type (see details of VSX type list)	[ucd=meta.id]
#Column	l_max	(A1)	? Limit flag on max (LimitFlagOnMax)	[ucd=meta.code.error]
#Column	max	(F7.3)	[-6.0/25.2]? Magnitude at maximum, or amplitude (MagMax)	[ucd=phot.mag]
#Column	u_max	(A1)	? Uncertainty flag on max (MaxUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_max	(a7)	? Passband on max magnitude (4) (MaxPassband)	[ucd=meta.note]
#Column	f_min	(A1)	? Flag to indicate an amplitude (MinIsAmplitude)	[ucd=meta.code]
#Column	l_min	(A1)	? Limit flag on min (LimitFlagOnMin)	[ucd=meta.code.error]
#Column	min	(F7.3)	[-0.02/28.0]? Magnitude at minimum, or amplitude (MagMin)	[ucd=phot.mag]
#Column	u_min	(A1)	? Uncertainty flag on min (MinUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_min	(a8)	? Passband on min magnitude (MinPassband)	[ucd=meta.note]
#Column	Epoch	(F14.5)	? Epoch of maximum or minimum (HJD)	[ucd=time.epoch]
#Column	u_Epoch	(A1)	? Uncertainty flag on epoch (EpochUncertaintyFlag)	[ucd=meta.code.error;time.epoch]
#Column	l_Period	(A1)	? Limit flag on period (3) (LimitFlagOnPeriod)	[ucd=meta.code.error;time.period]
#Column	Period	(F19.12)	[0.0/27400.0]? Period of the variable in days	[ucd=time.period]
#Column	u_Period	(A1)	? Uncertainty flag on Period (3) (PeriodUncertaintyFlag)	[ucd=meta.code.error;time.period]
#Column	Sp	(a29)	? Spectral type (SpectralType)	[ucd=src.spType]
#Column	RAJ2000	(F9.5)	[0.0/360.0] Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-89.93/89.91] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
OID|n_OID|Name|V|Type|l_max|max|u_max|n_max|f_min|l_min|min|u_min|n_min|Epoch|u_Epoch|l_Period|Period|u_Period|Sp|RAJ2000|DEJ2000
    9076|B|W Cet                         |0|M                             | |  7.100| |V      | | | 15.000| |V       | 2454675.00000| | |   352.000000000000| |S6,3e-S9,2e                  |000.53079|-14.67586
 2539185| |Gaia DR3 2341528865980057344  |0|ACV|roAm|roAp|SXARI           | |  9.500| |G      | | |  9.560| |G       |              | | |                   | |F                            |000.53760|-20.87166
   53433|B|NSV 14809                     |1|ROT:                          | |  5.720| |V      | | |  5.760| |V       |              | | |                   | |G5VbFe-2+K6V                 |000.54233|+27.08225
  285818| |GSC 04026-00334               |0|EA                            | |  9.590| |V      |Y| |  0.390| |R       | 2455488.40687| | |    18.831000000000| |O9.5V                        |000.54267|+67.42922
 2539388| |Gaia DR3 394037243392387840   |0|ACV|roAm|roAp|SXARI           | |  9.830| |G      | | |  9.870| |G       |              | | |                   | |A                            |000.56228|+50.77320
   64638|B|NSV 26203                     |1|                              | |  8.070| |Hp     | | |  8.170| |Hp      |              | | |                   | |F7V                          |000.56792|-27.13528
    7153|B|V0822 Cas                     |0|SRB                           | |  6.750| |Hp     | | |  6.840| |Hp      |              | | |    41.800000000000|:|M0                           |000.57375|+60.70317
 2539502| |Gaia DR3 429335036979069184   |0|ROT                           | |  9.360| |G      | | |  9.380| |G       |              | | |                   | |K                            |000.57480|+60.50598
   73345|B|ASAS J000222+0429.6           |0|MISC                          | |  9.790| |V      |Y| |  0.110| |V       | 2451963.30000| | |    40.499657000000| |M1                           |000.59025|+04.49383
 2539748| |Gaia DR3 420317426719370368   |0|DSCT|GDOR|SXPHE               | |  9.480| |G      | | |  9.550| |G       |              | | |     0.373683000000| |A                            |000.60524|+54.13514
   53435|B|NSV 14811                     |2|                              | |  7.800| |V      | | |       | |        |              | | |                   | |F0                           |000.61250|+87.03250
   73346|B|ASAS J000229-5653.9           |0|RS:                           | |  9.800| |V      | | | 10.000| |V       | 2451895.80000| | |    13.211670000000| |F6/8                         |000.62304|-56.89714
   64641|B|NSV 26206                     |1|VAR:                          | |  7.220| |V      | | |       | |        |              | | |                   | |A2                           |000.63458|+16.25667
    9144|B|AU Cet                        |0|SR                            | |  9.530| |V      | | |  9.900| |V       | 2451996.20000| | |    47.000000000000| |M6III                        |000.66379|-19.44411
    8748|B|V0396 Cep                     |0|LB:                           | |  9.240| |Hp     | | |  9.350| |Hp      |              | | |                   | |M2                           |000.67454|+75.03622
    6571|B|IW Cas                        |0|M                             | |  8.000| |V      | | | 15.000| |V       | 2452210.00000| | |   388.000000000000| |S4.5,9e                      |000.68433|+48.71422
   38627|B|NSV 3                         |2|CST                           | |  9.230| |V      | | |       | |        |              | | |                   | |                             |000.69667|+02.12972
   34022|B|RU Scl                        |0|RRAB/BL                       | |  9.543| |V      | | | 10.749| |V       | 2431122.83900| | |     0.493354900000| |A5:-F8                       |000.70046|-24.94531
 2540541| |Gaia DR3 387248819938407424   |0|ACV|roAm|roAp|SXARI           | |  8.880| |G      | | |  8.910| |G       |              | | |                   | |A                            |000.71400|+47.25227
 2540545| |Gaia DR3 387248824234876544   |0|ACV|roAm|roAp|SXARI           | |  9.080| |G      | | |  9.140| |G       |              | | |                   | |B                            |000.71461|+47.25209
 2540555| |Gaia DR3 2854967192327848320  |0|ACV|roAm|roAp|SXARI           | |  9.840| |G      | | |  9.870| |G       |              | | |                   | |F                            |000.71576|+28.74602
 2540572| |Gaia DR3 384884083959592320   |0|ACV|roAm|roAp|SXARI           | |  8.730| |G      | | |  8.800| |G       |              | | |                   | |F                            |000.71880|+43.52836
   53436|B|NSV 15001                     |1|                              | |  8.420| |V      | | |       | |        |              | | |                   | |A0V                          |000.73013|-30.14978
 2540824| |Gaia DR3 384216680401439872   |0|ROT                           | | 10.000| |G      | | | 10.050| |G       |              | | |                   | |K                            |000.75204|+41.18317
  282786|B|HIP 247                       |0|EA                            | |  9.190| |V      | | |  9.320| |V       | 2454160.07000| | |     2.260400000000| |F5                           |000.76542|+08.26131
 2541032| |Gaia DR3 420501526199300864   |0|SR|M                          | |  8.630| |G      | | |  8.860| |G       |              | | |   649.400000000000| |M                            |000.78031|+55.56295
 2541210| |Gaia DR3 539829083613665792   |0|DSCT|GDOR|SXPHE               | |  8.300| |G      | | |  8.340| |G       |              | | |     0.126699500000| |A                            |000.80361|+76.30860
 2541339| |Gaia DR3 567264883725432320   |0|ACV|roAm|roAp|SXARI           | |  9.360| |G      | | |  9.410| |G       |              | | |                   | |B                            |000.82080|+82.65658
      30|B|TW And                        |0|EA                            | |  8.980| |V      | | | 11.040| |V       | 2455486.73640| | |     4.122738000000| |F0V+K1/3III/IV               |000.82596|+32.84586
 2541386| |Gaia DR3 423131489292633728   |0|ACV|roAm|roAp|SXARI           | |  8.500| |G      | | |  8.600| |G       |              | | |                   | |B                            |000.82878|+58.78944
  629624|B|WISE J000321.4+383106         |0|EA                            | |  9.863| |W1     |Y| |  0.163| |W1      |              | | |    12.257912400000| |                             |000.83921|+38.51856
    6338|B|Y Cas                         |0|M                             | |  8.700| |V      | | | 15.500| |V       | 2457375.00000| | |   417.000000000000| |M6e-M8.5e                    |000.83942|+55.68112
    8749|B|V0397 Cep                     |0|EA                            | |  7.390| |Hp     | | |  7.810| |Hp      | 2448501.18000| | |     2.086835000000| |A2                           |000.84987|+73.17450
    6970|B|V0639 Cas                     |0|ACYG                          | |  6.190| |V      | | |  6.280| |V       |              | | |     2.880850000000| |B2.9Iab                      |000.85713|+63.64053
  305038|B|HIP 279                       |0|VAR                           | |  8.690| |V      |Y| |  0.016| |V       |              | | |     1.627980000000| |B8V                          |000.86380|+62.35780
  305039|B|HIP 281                       |0|VAR                           | |  8.450| |V      |Y| |  0.015| |V       |              | | |     0.090210000000| |M0                           |000.87620|+55.06000
  305040|B|HIP 283                       |0|VAR                           | |  7.450| |V      |Y| |  0.013| |V       |              | | |     0.162170000000| |A5                           |000.87710|+12.35680
  141531| |NSVS 201239                   |0|L                             | | 10.000| |R1     | | | 10.350| |R1      |              | | |                   | |M5Ve                         |000.89463|+67.21650
   53441|B|NSV 15006                     |0|ACV                           | |  8.200| |V      | | |  8.220| |V       | 2454643.94000| | |     1.532070000000| |A0pSi                        |000.90458|-28.41714
  305041|B|HIP 292                       |0|VAR                           | |  8.110| |V      |Y| |  0.012| |V       |              | | |     2.653220000000| |A0                           |000.90880|+70.30600
 2542047| |Gaia DR3 2417710487615987584  |0|E                             | |  9.800| |G      | | |  9.950| |G       |              | | |     1.630450000000| |A                            |000.91912|-14.08526
 2542084| |Gaia DR3 2333120282087272192  |0|RS                            | |  8.060| |G      | | |  8.110| |G       |              | | |                   | |G                            |000.92286|-28.39619
 2542112| |Gaia DR3 396210458180775936   |0|ACV|roAm|roAp|SXARI           | |  9.420| |G      | | |  9.470| |G       |              | | |                   | |B                            |000.92723|+53.48271
    8750|B|V0398 Cep                     |0|SRB                           | |  6.335| |V      |Y| |  0.100| |Hp      | 2457152.67000| | |    22.040000000000| |M0                           |000.96517|+66.71219
   38631|B|NSV 7                         |1|                              | |  9.200| |V      | | | 10.900| |V       |              | | |                   | |                             |000.97067|+27.98092
 2542464| |Gaia DR3 429358916998376576   |0|ACV|roAm|roAp|SXARI           | |  9.390| |G      | | |  9.450| |G       |              | | |                   | |B                            |000.97219|+60.67626
 2542558| |Gaia DR3 4991245442450089728  |0|DSCT|GDOR|SXPHE               | |  8.480| |G      | | |  8.520| |G       |              | | |     0.072319900000| |A                            |000.98593|-45.28861
   73358|B|ASAS J000358+0223.1           |0|MISC                          | |  9.900| |V      |Y| |  0.140| |V       | 2451914.40000| | |    18.076645000000| |M2                           |000.99308|+02.38533
   25412|B|NN Peg                        |0|DSCT                          | |  7.170| |V      | | |  7.250| |V       | 2448500.14400| | |     0.170088200000| |F0                           |001.00104|+12.14581
  629442|B|WISE J000401.5+654636         |0|EA                            | |  9.535| |W1     |Y| |  0.225| |W1      |              | | |     8.752238200000| |                             |001.00665|+65.77686
 2542717| |Gaia DR3 393841427240141696   |0|DSCT|GDOR|SXPHE               | |  9.690| |G      | | |  9.730| |G       |              | | |     0.053181100000| |F                            |001.00901|+49.70422
 2542758| |Gaia DR3 429927879906030336   |0|ACYG                          | |  8.040| |G      | | |  8.120| |G       |              | | |                   | |B                            |001.01581|+62.22195
 2542787| |Gaia DR3 384383496931718400   |0|L                             | |  8.090| |G      | | |  8.280| |G       |              | | |                   | |M                            |001.01926|+42.39130
 2542867| |Gaia DR3 420866564061048320   |0|ACV|roAm|roAp|SXARI           | |  9.250| |G      | | |  9.370| |G       |              | | |                   | |A                            |001.03083|+56.03565
  269326|B|HD 225184                     |0|DSCT                          | |  9.600| |V      |Y| |  0.003| |CR      |              | | |     0.082927000000| |A2m delta Del                |001.04621|-04.92611
 2542980| |Gaia DR3 384418612584229760   |0|VAR                           | |  9.900| |G      | | |  9.970| |G       |              | | |     0.250522000000| |A                            |001.04804|+42.80817
 2542986| |Gaia DR3 2853910458574311680  |0|DSCT|GDOR|SXPHE               | |  9.850| |G      | | |  9.890| |G       |              | | |                   | |F                            |001.04875|+27.01069
   34082|B|AT Scl                        |0|ELL:                          | |  7.080| |V      |Y| |  0.030| |V       |              | | |                   | |B8V                          |001.04958|-30.13492
   53444|B|NSV 15009                     |1|                              | |  5.880| |V      | | |       | |        |              | | |                   | |A1III                        |001.05625|+62.28778
 2543042| |Gaia DR3 393946052643402112   |0|E                             | |  9.280| |G      | | |  9.620| |G       |              | | |    12.696500000000| |F                            |001.05632|+50.15698
 2543087| |Gaia DR3 393979141072180480   |0|ACV|roAm|roAp|SXARI           | |  9.480| |G      | | |  9.510| |G       |              | | |                   | |F                            |001.06296|+50.45589
  359400|B|HD 225186                     |0|DSCT                          | |  9.050| |V      |Y| |  0.003| |V       |              | | |     0.016644000000| |A5                           |001.06300|-17.42489
    7070|B|V0739 Cas                     |0|LB                            | |  7.620| |Hp     | | |  7.700| |Hp      |              | | |                   | |K5                           |001.06662|+65.15297
   34087|B|AY Scl                        |0|EA+SR                         | |  8.980| |J      | | |  9.880| |J       | 2446235.00000| | |   508.000000000000| |M1III                        |001.08000|-30.65969
      22|B|SV And                        |0|M                             | |  7.700| |V      | | | 14.700| |V       | 2453220.00000| | |   313.000000000000| |M5e-M7e                      |001.08363|+40.10994
 2227435| |VSSP J000421.30+541628.5      |0|SPB                           | |  7.790| |V      |Y| |  0.026| |TESS    | 2458767.59200| | |     0.495542000000| |B3V                          |001.08875|+54.27458
 2543323| |Gaia DR3 2798178481904416128  |0|ROT                           | |  9.170| |G      | | |  9.190| |G       |              | | |                   | |K                            |001.09242|+19.20231
 2543484| |Gaia DR3 384828902219787008   |0|RS                            | |  9.170| |G      | | |  9.240| |G       |              | | |                   | |G                            |001.11369|+43.55962
   38637|B|NSV 13                        |0|LC                            | |  4.920| |V      | | |  4.970| |V       |              | | |                   | |K3Ibvar                      |001.12550|-10.50953
   38636|B|NSV 12                        |1|                              | |  4.900| |I      | | |  5.270| |I       |              | | |                   | |M6                           |001.12658|+42.11989
      21|B|SU And                        |0|LC                            | |  8.000| |V      | | |  8.500| |V       |              | | |                   | |C6,4(C5II)                   |001.15171|+43.55131
   53447|B|NSV 15012                     |1|                              | |  6.100| |V      | | |       | |        |              | | |                   | |B9III                        |001.15250|+42.09250
 2543811| |Gaia DR3 4631185139888179200  |0|DSCT|GDOR|SXPHE               | |  9.050| |G      | | |  9.110| |G       |              | | |     0.064233000000| |A                            |001.15563|-81.34532
 2543875| |Gaia DR3 420872061616320384   |0|DSCT|GDOR|SXPHE               | |  9.790| |G      | | |  9.820| |G       |              | | |     1.779320000000| |B                            |001.16233|+56.08163
   53449|B|NSV 15014                     |1|                              | |  8.500| |Hp     | | |  8.570| |Hp      |              | | |                   | |                             |001.17167|+06.52250
 2543944| |Gaia DR3 2449600379269545088  |0|DSCT|GDOR|SXPHE               | |  8.880| |G      | | |  8.930| |G       |              | | |                   | |F                            |001.17301|-01.05929
 2544031| |Gaia DR3 422553799010276352   |0|VAR                           | |  9.950| |G      | | | 10.050| |G       |              | | |     0.019017700000| |B                            |001.18357|+57.46464
    8751|B|V0399 Cep                     |0|IA                            | |  9.150| |Hp     | | |  9.350| |Hp      |              | | |                   | |B2                           |001.20396|+68.18869
 2544339| |Gaia DR3 423079709165439488   |0|ACV|roAm|roAp|SXARI           | |  9.380| |G      | | |  9.410| |G       |              | | |                   | |                             |001.22726|+58.53268
 2544383| |Gaia DR3 2307716993640206464  |0|ROT                           | |  9.660| |G      | | |  9.690| |G       |              | | |                   | |K                            |001.23306|-37.29820
   73371|B|ASAS J000458+1509.9           |0|MISC                          | |  9.880| |V      |Y| |  0.060| |V       | 2452693.10000| | |    27.836664000000| |                             |001.24017|+15.16511
   53451|B|NSV 15016                     |1|                              | |  8.660| |Hp     | | |  8.750| |Hp      |              | | |                   | |M2                           |001.24375|+26.72528
   38641|B|NSV 17                        |2|                              | |  9.500| |V      | | |       | |        |              | | |                   | |                             |001.25704|+21.41575
    6898|B|V0567 Cas                     |0|ACV                           | |  5.710| |V      | | |  5.810| |V       | 2440482.44400| | |     6.432200000000| |B9p(Hg-Mn)                   |001.27563|+61.31397
 2544843| |Gaia DR3 386655019234959872   |0|ROT                           | |  9.070| |G      | | |  9.100| |G       |              | | |                   | |M                            |001.29537|+45.78657
   53453|B|NSV 15018                     |1|BY:                           | |  8.300| |V      | | |       | |        |              | | |                   | |                             |001.32458|+48.47722
